gender_uuid,node_iri,label,code
dce09ac4-fb35-5064-b6a9-ef715136bbae,http://id.loc.gov/authorities/demographicTerms/dg2015060003,Males,male
085c9837-8679-5154-8352-b5fc0fed1967,http://id.loc.gov/authorities/demographicTerms/dg2015060004,Females,female
7d3ebc3f-f632-5a75-9523-747005211fb5,http://id.loc.gov/authorities/demographicTerms/dg2015060359,Men,male
78ce90e0-ee3c-5e40-b006-5964c13c037d,http://id.loc.gov/authorities/demographicTerms/dg2015060358,Women,female
5381a73f-abf2-568d-939e-28f46594bcb8,http://id.loc.gov/authorities/demographicTerms/dg2015060006,Transgender people,trans
ee238544-efba-5395-861c-c514748b9ee8,http://id.loc.gov/authorities/demographicTerms/dg2015060398,Gender minorities,minority
88d97e4f-6140-5127-b96b-78537cb437cc,http://id.loc.gov/authorities/demographicTerms/dg2015060005,Transsexuals,trans
ad42e785-1e31-5982-81fa-065d17895ab1,http://id.loc.gov/authorities/demographicTerms/dg2015060304,Lesbians,female
abdb7940-1351-5669-9ce5-def45e59118f,http://id.loc.gov/authorities/demographicTerms/dg2016060025,Intersex people,minority
8de2030c-f281-5ddf-b9d4-4987abbe7d84,http://id.loc.gov/authorities/demographicTerms/dg2015060361,Boys,male
aef153d4-3f2b-52c8-8214-e0e2e8addfb6,http://id.loc.gov/authorities/demographicTerms/dg2015060303,Gay men,male
